sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AB563799	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2004	2004	2004	706	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2004/Z-04-534
AB563800	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-009
AB563801	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Laguna	2005	2005	2005	840	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2005/Z-05-012
AB563802	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Cavite	2005	2005	2005	707	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2005/Z-05-017
AB563803	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-090
AB563804	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Laguna	2005	2005	2005	700	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2005/Z-05-123
AB563805	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-149
AB563806	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-168
AB563807	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region11, Davao del Sur	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R11.PHL/2005/Z-05-186
AB563808	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	659	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-187
AB563809	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2005/Z-05-198
AB563810	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	840	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-285
AB563811	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	659	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-299
AB563812	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-373
AB563813	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-396
AB563814	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	712	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-424
AB563815	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-465
AB563816	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-466
AB563817	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Bulacan	2005	2005	2005	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2005/Z-05-507
AB563818	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Batangas	2006	2006	2006	807	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-039
AB563819	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Laguna	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-163
AB563820	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Batangas	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-197
AB563821	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4B, Oriental Mindoro	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4B.PHL/2006/Z-06-203
AB563822	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Cavite	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-222
AB563823	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Cavite	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-231
AB563824	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Laguna	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-342
AB563825	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Batangas	2006	2006	2006	1549	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-345
AB563826	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Cavite	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-348
AB563827	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Batangas	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-357
AB563828	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Laguna	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-361
AB563829	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Batangas	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-362
AB563830	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Cavite	2006	2006	2006	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-365
AB563831	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4B, Oriental Mindoro	2006	2006	2006	1549	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4B.PHL/2006/Z-06-408
AB563832	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Cavite	2007	2007	2007	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2007/Z-07-189
AB563833	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Cavite	2007	2007	2007	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2007/Z-07-243
AB563834	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Quezon	2007	2007	2007	798	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2007/Z-07-252
AB563835	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Cavite	2007	2007	2007	789	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2007/Z-07-307
AB563836	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Cavite	2007	2007	2007	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2007/Z-07-317
AB563837	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Cavite	2007	2007	2007	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2007/Z-07-330
AB563838	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-002
AB563839	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-005
AB563840	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-006
AB563841	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-009
AB563842	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-010
AB563843	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Zambales	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-011
AB563844	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Tarlac	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-013
AB563845	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-014
AB563846	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Zambales	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-016
AB563847	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Zambales	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-018
AB563848	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-019
AB563849	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-020
AB563850	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-021
AB563851	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-022
AB563852	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-024
AB563853	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-025
AB563854	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-026
AB563855	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-027
AB563856	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-028
AB563857	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-030
AB563858	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-031
AB563859	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-032
AB563860	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-034
AB563861	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Camarines Sur	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-036
AB563862	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Camarines Sur	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-037
AB563863	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-038
AB563864	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Zambales	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-040
AB563865	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Tarlac	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-041
AB563866	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Pampanga	2008	2008	2008	710	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-045
AB563867	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Zambales	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-047
AB563868	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Zambales	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-048
AB563869	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-049
AB563870	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-051
AB563871	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-052
AB563872	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-053
AB563873	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Lanao del Norte	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-054
AB563874	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-055
AB563875	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-056
AB563876	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-057
AB563877	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2008	2008	2008	769	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-058
AB563878	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-059
AB563879	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-060
AB563880	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-061
AB563881	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-062
AB563882	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-063
AB563883	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-064
AB563884	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-065
AB563885	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-066
AB563886	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-067
AB563887	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Camarines Sur	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-071
AB563888	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-072
AB563889	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Sorsogon	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-073
AB563890	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-074
AB563891	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-075
AB563892	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-076
AB563893	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-077
AB563894	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-078
AB563895	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-079
AB563896	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-080
AB563897	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 7, Cebu	2008	2008	2008	803	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-081
AB563898	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 7, Cebu	2008	2008	2008	789	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-082
AB563899	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 7, Negros Oriental	2008	2008	2008	769	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-083
AB563900	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Valencia	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	-	23593515	RV/R7.PHL/2008/TRa-085
AB563901	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-086
AB563902	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-087
AB563903	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-088
AB563904	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-089
AB563905	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-090
AB563906	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-091
AB563907	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-092
AB563908	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-093
AB563909	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2008/TRa-094
AB563910	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-095
AB563911	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-096
AB563912	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-097
AB563913	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-098
